name,url
XCOM: Chimera Squad,https://www.metacritic.com/game/pc/xcom-chimera-squad
A Fold Apart,https://www.metacritic.com/game/pc/a-fold-apart
Zombie Army 4: Dead War,https://www.metacritic.com/game/xbox-one/zombie-army-4-dead-war
Timelie,https://www.metacritic.com/game/pc/timelie
Resident Evil 3,https://www.metacritic.com/game/pc/resident-evil-3
XCOM 2 Collection,https://www.metacritic.com/game/switch/xcom-2-collection
Darksiders Genesis,https://www.metacritic.com/game/xbox-one/darksiders-genesis
Control: The Foundation,https://www.metacritic.com/game/pc/control-the-foundation
Borderlands 3: Bounty of Blood,https://www.metacritic.com/game/pc/borderlands-3-bounty-of-blood
Mortal Shell,https://www.metacritic.com/game/pc/mortal-shell
Darksiders Genesis,https://www.metacritic.com/game/playstation-4/darksiders-genesis
Moving Out,https://www.metacritic.com/game/switch/moving-out
One Piece: Pirate Warriors 4,https://www.metacritic.com/game/xbox-one/one-piece-pirate-warriors-4
MotoGP 20,https://www.metacritic.com/game/playstation-4/motogp-20
Trials of Mana,https://www.metacritic.com/game/playstation-4/trials-of-mana
Deliver Us The Moon,https://www.metacritic.com/game/xbox-one/deliver-us-the-moon
ITTA,https://www.metacritic.com/game/switch/itta
Carrion,https://www.metacritic.com/game/xbox-one/carrion
Brigandine: The Legend of Runersia,https://www.metacritic.com/game/switch/brigandine-the-legend-of-runersia
Samurai Shodown,https://www.metacritic.com/game/pc/samurai-shodown
BEAUTIFUL DESOLATION,https://www.metacritic.com/game/pc/beautiful-desolation
Mortal Shell,https://www.metacritic.com/game/playstation-4/mortal-shell
Saints Row: The Third Remastered,https://www.metacritic.com/game/xbox-one/saints-row-the-third-remastered
Journey to the Savage Planet,https://www.metacritic.com/game/xbox-one/journey-to-the-savage-planet
Hunt: Showdown,https://www.metacritic.com/game/xbox-one/hunt-showdown
The Persistence,https://www.metacritic.com/game/xbox-one/the-persistence
Utawarerumono: Prelude to the Fallen,https://www.metacritic.com/game/playstation-4/utawarerumono-prelude-to-the-fallen
Broken Lines,https://www.metacritic.com/game/pc/broken-lines
Journey to the Savage Planet,https://www.metacritic.com/game/pc/journey-to-the-savage-planet
Darius Cozmic Collection: Arcade,https://www.metacritic.com/game/switch/darius-cozmic-collection-arcade
Langrisser I & II,https://www.metacritic.com/game/switch/langrisser-i-ii
The Wonderful 101: Remastered,https://www.metacritic.com/game/playstation-4/the-wonderful-101-remastered
Fury Unleashed,https://www.metacritic.com/game/switch/fury-unleashed
TT Isle of Man: Ride On The Edge 2,https://www.metacritic.com/game/xbox-one/tt-isle-of-man-ride-on-the-edge-2
DOOM 64,https://www.metacritic.com/game/playstation-4/doom-64
Samurai Shodown,https://www.metacritic.com/game/switch/samurai-shodown
A Total War Saga: TROY,https://www.metacritic.com/game/pc/a-total-war-saga-troy
One Piece: Pirate Warriors 4,https://www.metacritic.com/game/playstation-4/one-piece-pirate-warriors-4
VirtuaVerse,https://www.metacritic.com/game/pc/virtuaverse
Ys: Memories of Celceta,https://www.metacritic.com/game/playstation-4/ys-memories-of-celceta
LUNA The Shadow Dust,https://www.metacritic.com/game/pc/luna-the-shadow-dust
Beyond Blue,https://www.metacritic.com/game/playstation-4/beyond-blue
"Yes, Your Grace",https://www.metacritic.com/game/pc/yes-your-grace
Below,https://www.metacritic.com/game/playstation-4/below
Assetto Corsa Competizione,https://www.metacritic.com/game/xbox-one/assetto-corsa-competizione
Willy Jetman: Astromonkey's Revenge,https://www.metacritic.com/game/switch/willy-jetman-astromonkeys-revenge
The Room VR: A Dark Matter,https://www.metacritic.com/game/playstation-4/the-room-vr-a-dark-matter
Fire Emblem: Three Houses - Side Story: Cindered Shadows,https://www.metacritic.com/game/switch/fire-emblem-three-houses---side-story-cindered-shadows
Patapon 2 Remastered,https://www.metacritic.com/game/playstation-4/patapon-2-remastered
Carrion,https://www.metacritic.com/game/pc/carrion
Bloodroots,https://www.metacritic.com/game/switch/bloodroots
inbento,https://www.metacritic.com/game/switch/inbento
Trackmania,https://www.metacritic.com/game/pc/trackmania
Resolutiion,https://www.metacritic.com/game/switch/resolutiion
Neversong,https://www.metacritic.com/game/pc/neversong
Biped,https://www.metacritic.com/game/pc/biped
Coffee Talk,https://www.metacritic.com/game/pc/coffee-talk
Mortal Kombat 11: Aftermath,https://www.metacritic.com/game/playstation-4/mortal-kombat-11-aftermath
Ion Fury,https://www.metacritic.com/game/playstation-4/ion-fury
Superliminal,https://www.metacritic.com/game/switch/superliminal
Death Come True,https://www.metacritic.com/game/switch/death-come-true
Arcade Spirits,https://www.metacritic.com/game/switch/arcade-spirits
Relicta,https://www.metacritic.com/game/playstation-4/relicta
Darksiders Genesis,https://www.metacritic.com/game/switch/darksiders-genesis
Post Void,https://www.metacritic.com/game/pc/post-void
Alder's Blood,https://www.metacritic.com/game/switch/alders-blood
Monster Energy Supercross - The Official Videogame 3,https://www.metacritic.com/game/xbox-one/monster-energy-supercross---the-official-videogame-3
Roki,https://www.metacritic.com/game/pc/roki
Zombie Army 4: Dead War,https://www.metacritic.com/game/pc/zombie-army-4-dead-war
Moving Out,https://www.metacritic.com/game/playstation-4/moving-out
TT Isle of Man: Ride On The Edge 2,https://www.metacritic.com/game/playstation-4/tt-isle-of-man-ride-on-the-edge-2
Phantom: Covert Ops,https://www.metacritic.com/game/pc/phantom-covert-ops
Saints Row: The Third Remastered,https://www.metacritic.com/game/playstation-4/saints-row-the-third-remastered
Journey to the Savage Planet,https://www.metacritic.com/game/playstation-4/journey-to-the-savage-planet
Fort Triumph,https://www.metacritic.com/game/pc/fort-triumph
Orcs Must Die! 3,https://www.metacritic.com/game/stadia/orcs-must-die!-3
Project Warlock,https://www.metacritic.com/game/switch/project-warlock
HyperParasite,https://www.metacritic.com/game/xbox-one/hyperparasite
One Step From Eden,https://www.metacritic.com/game/switch/one-step-from-eden
Coffee Talk,https://www.metacritic.com/game/switch/coffee-talk
Trials of Mana,https://www.metacritic.com/game/switch/trials-of-mana
Darwin Project,https://www.metacritic.com/game/pc/darwin-project
In Other Waters,https://www.metacritic.com/game/pc/in-other-waters
Monster Prom: XXL,https://www.metacritic.com/game/switch/monster-prom-xxl
HYPERCHARGE: Unboxed,https://www.metacritic.com/game/switch/hypercharge-unboxed
Darius Cozmic Collection: Arcade,https://www.metacritic.com/game/playstation-4/darius-cozmic-collection-arcade
Afterparty,https://www.metacritic.com/game/switch/afterparty
Project Warlock,https://www.metacritic.com/game/playstation-4/project-warlock
Tom Clancy's The Division 2: Warlords of New York,https://www.metacritic.com/game/playstation-4/tom-clancys-the-division-2-warlords-of-new-york
Railway Empire: Switch Edition,https://www.metacritic.com/game/switch/railway-empire-switch-edition
Dungeon Defenders: Awakened,https://www.metacritic.com/game/pc/dungeon-defenders-awakened
Cloudpunk,https://www.metacritic.com/game/pc/cloudpunk
Minecraft Dungeons,https://www.metacritic.com/game/xbox-one/minecraft-dungeons
Neon Abyss,https://www.metacritic.com/game/pc/neon-abyss
West of Dead,https://www.metacritic.com/game/xbox-one/west-of-dead
Jay and Silent Bob: Mall Brawl,https://www.metacritic.com/game/switch/jay-and-silent-bob-mall-brawl
Lightmatter,https://www.metacritic.com/game/pc/lightmatter
void tRrLM(); //Void Terrarium,https://www.metacritic.com/game/switch/void-trrlm()-void-terrarium
The Elder Scrolls Online: Greymoor,https://www.metacritic.com/game/pc/the-elder-scrolls-online-greymoor
THOTH,https://www.metacritic.com/game/switch/thoth
The TakeOver,https://www.metacritic.com/game/switch/the-takeover
Dragon Ball Z: Kakarot,https://www.metacritic.com/game/pc/dragon-ball-z-kakarot
KUNAI,https://www.metacritic.com/game/switch/kunai
Destroy All Humans!,https://www.metacritic.com/game/pc/destroy-all-humans!
Willy Morgan and the Curse of Bone Town,https://www.metacritic.com/game/pc/willy-morgan-and-the-curse-of-bone-town
112 Operator,https://www.metacritic.com/game/pc/112-operator
Dragon Ball Z: Kakarot,https://www.metacritic.com/game/playstation-4/dragon-ball-z-kakarot
Dragon Ball Z: Kakarot,https://www.metacritic.com/game/xbox-one/dragon-ball-z-kakarot
Iron Danger,https://www.metacritic.com/game/pc/iron-danger
Marvel's Iron Man VR,https://www.metacritic.com/game/playstation-4/marvels-iron-man-vr
"Warhammer 40,000: Mechanicus",https://www.metacritic.com/game/switch/warhammer-40000-mechanicus
Arcade Spirits,https://www.metacritic.com/game/playstation-4/arcade-spirits
Lydia,https://www.metacritic.com/game/switch/lydia
Rocket Arena,https://www.metacritic.com/game/pc/rocket-arena
Fairy Tail,https://www.metacritic.com/game/playstation-4/fairy-tail
Zombie Army 4: Dead War,https://www.metacritic.com/game/playstation-4/zombie-army-4-dead-war
Sakura Wars,https://www.metacritic.com/game/playstation-4/sakura-wars
SNK Gals' Fighters,https://www.metacritic.com/game/switch/snk-gals-fighters
Beyond Blue,https://www.metacritic.com/game/pc/beyond-blue
Darkestville Castle,https://www.metacritic.com/game/switch/darkestville-castle
Infliction: Extended Cut,https://www.metacritic.com/game/xbox-one/infliction-extended-cut
Mafia II: Definitive Edition,https://www.metacritic.com/game/pc/mafia-ii-definitive-edition
"Yes, Your Grace",https://www.metacritic.com/game/switch/yes-your-grace
"Borderlands 3: Guns, Love, and Tentacles",https://www.metacritic.com/game/pc/borderlands-3-guns-love-and-tentacles
Saints Row IV: Re-Elected,https://www.metacritic.com/game/switch/saints-row-iv-re-elected
Minecraft Dungeons,https://www.metacritic.com/game/switch/minecraft-dungeons
Rock of Ages 3: Make & Break,https://www.metacritic.com/game/pc/rock-of-ages-3-make-break
Before We Leave,https://www.metacritic.com/game/pc/before-we-leave
