name,url
Resogun: Defenders,https://www.metacritic.com/game/playstation-4/resogun-defenders
Ys VIII: Lacrimosa of DANA,https://www.metacritic.com/game/playstation-4/ys-viii-lacrimosa-of-dana
Nioh 2,https://www.metacritic.com/game/playstation-4/nioh-2
Bayonetta & Vanquish,https://www.metacritic.com/game/playstation-4/bayonetta-vanquish
Yakuza 0,https://www.metacritic.com/game/playstation-4/yakuza-0
MLB The Show 17,https://www.metacritic.com/game/playstation-4/mlb-the-show-17
Destiny 2,https://www.metacritic.com/game/playstation-4/destiny-2
Assault Android Cactus,https://www.metacritic.com/game/playstation-4/assault-android-cactus
Super Mega Baseball,https://www.metacritic.com/game/playstation-4/super-mega-baseball
Yakuza Kiwami 2,https://www.metacritic.com/game/playstation-4/yakuza-kiwami-2
Rogue Legacy,https://www.metacritic.com/game/playstation-4/rogue-legacy
Wipeout: Omega Collection,https://www.metacritic.com/game/playstation-4/wipeout-omega-collection
Mortal Kombat XL,https://www.metacritic.com/game/playstation-4/mortal-kombat-xl
Geometry Wars 3: Dimensions,https://www.metacritic.com/game/playstation-4/geometry-wars-3-dimensions
Ratchet & Clank,https://www.metacritic.com/game/playstation-4/ratchet-clank
MLB The Show 16,https://www.metacritic.com/game/playstation-4/mlb-the-show-16
Valkyria Chronicles 4,https://www.metacritic.com/game/playstation-4/valkyria-chronicles-4
Far Cry 4,https://www.metacritic.com/game/playstation-4/far-cry-4
Moss,https://www.metacritic.com/game/playstation-4/moss
Tomb Raider: Definitive Edition,https://www.metacritic.com/game/playstation-4/tomb-raider-definitive-edition
Shadow Tactics: Blades of the Shogun,https://www.metacritic.com/game/playstation-4/shadow-tactics-blades-of-the-shogun
Super Meat Boy,https://www.metacritic.com/game/playstation-4/super-meat-boy
Pyre,https://www.metacritic.com/game/playstation-4/pyre
FIFA 17,https://www.metacritic.com/game/playstation-4/fifa-17
DiRT 4,https://www.metacritic.com/game/playstation-4/dirt-4
428: Shibuya Scramble,https://www.metacritic.com/game/playstation-4/428-shibuya-scramble
Gone Home: Console Edition,https://www.metacritic.com/game/playstation-4/gone-home-console-edition
Ni no Kuni II: Revenant Kingdom,https://www.metacritic.com/game/playstation-4/ni-no-kuni-ii-revenant-kingdom
Statik,https://www.metacritic.com/game/playstation-4/statik
Valkyria Chronicles Remastered,https://www.metacritic.com/game/playstation-4/valkyria-chronicles-remastered
F1 2018,https://www.metacritic.com/game/playstation-4/f1-2018
